# INFO:
#
#LockIn-Datenpunkte f�r Mittelwert: 10
#LockIn1 SR830 Sensitivity: 1.000000E+0V
#Wait time:    aussen: 0.000 s    1.innen: 1.000 s    innen: 0.500 s
#Zaehler   SM XPS1   CHX   CHXErr   CHY   CHYErr   MessZeit(s)   ZeitproPunkt(s)
NaN   4.3000000E+0   1.5075760E-3   1.5890145E-5   -6.1035600E-5   3.4299193E-13   3.5200000E-1   1.8110000E+0
NaN   4.3010000E+0   1.4648500E-3   0.0000000E+0   -6.1035600E-5   3.4299193E-13   3.0000000E-1   1.0340000E+0
NaN   4.3020000E+0   1.4648500E-3   0.0000000E+0   -6.1035600E-5   3.4299193E-13   2.8600000E-1   9.8900000E-1
NaN   4.3030000E+0   1.4648500E-3   0.0000000E+0   -6.1035600E-5   3.4299193E-13   2.8900000E-1   9.9100000E-1
NaN   4.3040000E+0   1.4648500E-3   0.0000000E+0   -6.1035600E-5   3.4299193E-13   2.9200000E-1   9.9500000E-1
NaN   4.3050000E+0   1.4648500E-3   0.0000000E+0   -6.1035600E-6   6.1035600E-6   2.3800000E-1   9.4000000E-1
NaN   4.3060000E+0   1.4648500E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3200000E-1   9.3500000E-1
NaN   4.3070000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3000000E-1   9.3300000E-1
NaN   4.3080000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3600000E-1   9.4000000E-1
NaN   4.3090000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.2900000E-1   9.3200000E-1
NaN   4.3100000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.2800000E-1   9.3000000E-1
NaN   4.3110000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3200000E-1   9.3400000E-1
NaN   4.3120000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.2600000E-1   9.2900000E-1
NaN   4.3130000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3000000E-1   9.3200000E-1
NaN   4.3140000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3500000E-1   9.3800000E-1
NaN   4.3150000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3000000E-1   9.3300000E-1
NaN   4.3160000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.2400000E-1   9.2600000E-1
NaN   4.3170000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3800000E-1   9.4100000E-1
NaN   4.3180000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3000000E-1   9.3400000E-1
NaN   4.3190000E+0   1.5258900E-3   5.4878709E-12  0.0000000E+0   0.0000000E+0   2.3100000E-1   9.3300000E-1
NaN   4.3200000E+0   1.5869200E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3500000E-1   9.3800000E-1
NaN   4.3210000E+0   1.5869200E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3000000E-1   9.3300000E-1
NaN   4.3220000E+0   1.5869200E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2800000E-1   9.3200000E-1
NaN   4.3230000E+0   1.6479600E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2800000E-1   9.3100000E-1
NaN   4.3240000E+0   1.6479600E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3200000E-1   9.3400000E-1
NaN   4.3250000E+0   1.7089900E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2500000E-1   9.2800000E-1
NaN   4.3260000E+0   1.7089900E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3800000E-1   9.4100000E-1
NaN   4.3270000E+0   1.7700300E-3   1.0975742E-11  0.0000000E+0   0.0000000E+0   2.2800000E-1   9.3000000E-1
NaN   4.3280000E+0   1.7700300E-3   1.0975742E-11  0.0000000E+0   0.0000000E+0   2.3200000E-1   9.3600000E-1
NaN   4.3290000E+0   1.8310600E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3800000E-1   9.4100000E-1
NaN   4.3300000E+0   1.8310600E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3100000E-1   9.3300000E-1
NaN   4.3310000E+0   1.8921000E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.5400000E-1   9.5700000E-1
NaN   4.3320000E+0   1.8921000E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.5600000E-1   9.5700000E-1
NaN   4.3330000E+0   1.9531400E-3   1.7354172E-11  0.0000000E+0   0.0000000E+0   2.6200000E-1   9.6400000E-1
NaN   4.3340000E+0   1.9531400E-3   1.7354172E-11  0.0000000E+0   0.0000000E+0   2.5400000E-1   9.5800000E-1
NaN   4.3350000E+0   2.0141800E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.5800000E-1   9.6200000E-1
NaN   4.3360000E+0   2.0752100E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.6300000E-1   9.6500000E-1
NaN   4.3370000E+0   2.1362500E-3   1.3442483E-11  0.0000000E+0   0.0000000E+0   2.6000000E-1   9.6300000E-1
NaN   4.3380000E+0   2.2583200E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.5400000E-1   9.5600000E-1
NaN   4.3390000E+0   2.3193500E-3   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.7200000E-1   9.7400000E-1
NaN   4.3400000E+0   2.4353170E-3   6.1030000E-6   6.1035600E-5   3.4299193E-13   3.0000000E-1   1.0040000E+0
NaN   4.3410000E+0   2.5634900E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.8400000E-1   9.8700000E-1
NaN   4.3420000E+0   2.6855600E-3   1.0975742E-11  6.1035600E-5   3.4299193E-13   2.8700000E-1   9.9000000E-1
NaN   4.3430000E+0   2.7588060E-3   8.1373333E-6   6.1035600E-5   3.4299193E-13   2.9100000E-1   9.9400000E-1
NaN   4.3440000E+0   2.9297000E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.9600000E-1   9.9800000E-1
NaN   4.3450000E+0   3.0517700E-3   2.1951484E-11  6.1035600E-5   3.4299193E-13   2.8600000E-1   9.8800000E-1
NaN   4.3460000E+0   3.1128100E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.9600000E-1   9.9800000E-1
NaN   4.3470000E+0   3.2348800E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.8800000E-1   9.9200000E-1
NaN   4.3480000E+0   3.2959100E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   3.0200000E-1   1.0060000E+0
NaN   4.3490000E+0   3.3569500E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.8600000E-1   9.9000000E-1
NaN   4.3500000E+0   3.4179800E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   2.9900000E-1   1.0020000E+0
NaN   4.3510000E+0   3.4179800E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.8900000E-1   9.9100000E-1
NaN   4.3520000E+0   3.4179800E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   3.1100000E-1   1.0140000E+0
NaN   4.3530000E+0   3.4179800E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.8800000E-1   9.9000000E-1
NaN   4.3540000E+0   3.3569500E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.8800000E-1   9.9200000E-1
NaN   4.3550000E+0   3.3569500E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.8600000E-1   9.8900000E-1
NaN   4.3560000E+0   3.2959100E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.9800000E-1   1.0010000E+0
NaN   4.3570000E+0   3.2348800E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.9500000E-1   9.9800000E-1
NaN   4.3580000E+0   3.1738400E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.8900000E-1   9.9100000E-1
NaN   4.3590000E+0   3.1738400E-3   0.0000000E+0   6.1035600E-5   3.4299193E-13   2.9200000E-1   9.9400000E-1
NaN   4.3600000E+0   3.1128100E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   2.9000000E-1   9.9200000E-1
NaN   4.3610000E+0   3.1128100E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   3.0800000E-1   1.0100000E+0
NaN   4.3620000E+0   3.0517700E-3   2.1951484E-11  1.2207100E-4   4.8506384E-13   3.0400000E-1   1.0080000E+0
NaN   4.3630000E+0   3.0517700E-3   2.1951484E-11  1.2207100E-4   4.8506384E-13   2.9600000E-1   1.0000000E+0
NaN   4.3640000E+0   3.0517700E-3   2.1951484E-11  1.2207100E-4   4.8506384E-13   2.9900000E-1   1.0010000E+0
NaN   4.3650000E+0   2.9907400E-3   1.9010542E-11  1.2207100E-4   4.8506384E-13   3.0500000E-1   1.0070000E+0
NaN   4.3660000E+0   2.9907400E-3   1.9010542E-11  1.2207100E-4   4.8506384E-13   3.0700000E-1   1.0100000E+0
NaN   4.3670000E+0   2.9297000E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   3.0000000E-1   1.0030000E+0
NaN   4.3680000E+0   2.9297000E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   2.8600000E-1   9.8800000E-1
NaN   4.3690000E+0   2.9297000E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   2.9000000E-1   9.9200000E-1
NaN   4.3700000E+0   2.8686700E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   3.0800000E-1   1.0110000E+0
NaN   4.3710000E+0   2.9297000E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   2.9400000E-1   9.9800000E-1
NaN   4.3720000E+0   2.9907400E-3   1.9010542E-11  1.2207100E-4   4.8506384E-13   2.9800000E-1   1.0020000E+0
NaN   4.3730000E+0   3.0517700E-3   2.1951484E-11  1.2207100E-4   4.8506384E-13   2.9900000E-1   1.0010000E+0
NaN   4.3740000E+0   3.1738400E-3   0.0000000E+0   1.2207100E-4   4.8506384E-13   3.0300000E-1   1.0060000E+0
