# INFO:
#
#LockIn-Datenpunkte f�r Mittelwert: 10
#LockIn1 SR830 Sensitivity: 1.000000E+0V
#Wait time:    aussen: 0.000 s    1.innen: 1.000 s    innen: 0.500 s
#Zaehler   SM XPS1   CHX   CHXErr   CHY   CHYErr   MessZeit(s)   ZeitproPunkt(s)
NaN   4.2000000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.8200000E-1   2.0840000E+0
NaN   4.2010000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3200000E-1   9.3600000E-1
NaN   4.2020000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3500000E-1   9.3700000E-1
NaN   4.2030000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3100000E-1   9.3400000E-1
NaN   4.2040000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3000000E-1   9.4800000E-1
NaN   4.2050000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3600000E-1   9.3900000E-1
NaN   4.2060000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3600000E-1   9.4000000E-1
NaN   4.2070000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3200000E-1   9.3600000E-1
NaN   4.2080000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2500000E-1   9.2700000E-1
NaN   4.2090000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3600000E-1   9.3800000E-1
NaN   4.2100000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3500000E-1   9.3600000E-1
NaN   4.2110000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3600000E-1   9.3900000E-1
NaN   4.2120000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.4000000E-1   9.4300000E-1
NaN   4.2130000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3500000E-1   9.3700000E-1
NaN   4.2140000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3200000E-1   9.3400000E-1
NaN   4.2150000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3600000E-1   9.3800000E-1
NaN   4.2160000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3400000E-1   9.3700000E-1
NaN   4.2170000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2800000E-1   9.3100000E-1
NaN   4.2180000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.3600000E-1   9.4000000E-1
NaN   4.2190000E+0   5.4932000E-4   0.0000000E+0   0.0000000E+0   0.0000000E+0   2.2900000E-1   9.3100000E-1
