# INFO:
#
#LockIn-Datenpunkte f�r Mittelwert: 10
#LockIn1 SR830 Sensitivity: 5.000000E-3V
#Wait time:    aussen: 0.000 s    1.innen: 1.000 s    innen: 0.500 s
#Zaehler   SM XPS1   CHX   CHXErr   CHY   CHYErr   MessZeit(s)   ZeitproPunkt(s)
NaN   4.1000000E+0   1.2469320E-5   6.2065451E-8   1.2397848E-6   8.5595102E-8   3.7100000E-1   2.2510000E+0
NaN   4.1010000E+0   1.1062700E-5   1.3856710E-7   1.3828363E-6   1.3203093E-7   3.0400000E-1   1.0080000E+0
NaN   4.1020000E+0   9.6798520E-6   3.8933823E-8   1.3351526E-6   9.5367733E-8   3.0200000E-1   1.0050000E+0
NaN   4.1030000E+0   1.0395120E-5   9.5368889E-8   -1.1920980E-7   1.7502203E-7   2.9200000E-1   9.9600000E-1
NaN   4.1040000E+0   1.1324970E-5   6.4082546E-8   2.0742540E-6   5.0887763E-8   3.0300000E-1   1.0050000E+0
NaN   4.1050000E+0   1.1181910E-5   9.7016448E-8   1.6689400E-6   7.1083110E-8   3.0100000E-1   1.0040000E+0
NaN   4.1060000E+0   1.0848120E-5   1.3416505E-7   1.9550440E-6   5.9472397E-8   3.0600000E-1   1.0090000E+0
NaN   4.1070000E+0   1.0371300E-5   5.3307861E-8   7.6294510E-7   6.9283429E-8   3.0400000E-1   1.0060000E+0
NaN   4.1080000E+0   1.2350120E-5   3.1786667E-8   1.2636260E-6   3.6419257E-8   2.9400000E-1   9.9500000E-1
NaN   4.1090000E+0   1.1754120E-5   5.0883494E-8   6.4373460E-7   1.5914534E-7   3.0400000E-1   1.0070000E+0
NaN   4.1100000E+0   1.1181900E-5   1.1489838E-7   1.8119920E-6   3.8933823E-8   3.0800000E-1   1.0120000E+0
NaN   4.1110000E+0   1.2445480E-5   6.9277434E-8   2.8610400E-6   1.1239227E-7   2.9700000E-1   1.0010000E+0
NaN   4.1120000E+0   9.7990620E-6   9.7011751E-8   8.1062820E-7   3.8934313E-8   3.0300000E-1   1.0050000E+0
